,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
age,0.28641247962132355,-0.4180857797233825,-0.0011102631159124036,-0.10186330689987412,-0.37047553513090825,-0.21568503454176477,-0.007689316243621195,0.297319448118898,-0.26951762353721564,-0.09810550260909422
sex,0.11185105047539079,0.45216981696846736,0.46266587752952426,-0.26163351482226505,0.17647208608589354,-0.27216693275936676,-0.024253742117937113,0.12979778500134354,-0.23570730497086279,0.04853844083157341
cp,0.28515013328916017,0.1460871870418292,-0.4135616774215613,-0.33232555547676684,0.05123734848878571,0.280753552290113,0.052629775974402083,-0.00463254265384528,0.44109107644942797,-0.44044529447005115
trestbps,0.16567140337823807,-0.3771536509167747,0.3544473816569169,0.17689946017141522,0.08318978910364255,0.22879215399681768,-0.42866409864374716,0.4503918561117091,0.3541438089317542,0.02666453919146075
chol,0.09103323032642484,-0.4385108988402644,-0.22763151222276462,-0.20376480158373772,0.39633691832617524,-0.02306392199767124,-0.3851025397993995,-0.4063987873235433,-0.4112382284546982,-0.026350078898872278
fbs,0.08124181019489359,-0.1941386003332085,0.5226350068122756,-0.17004800151407304,-0.17015674406227577,0.586054110063431,0.3387943075685512,-0.34934535054793847,-0.13128181837818573,-0.08400224089800072
restecg,0.15012830386140058,-0.2686124787541617,0.0763357354374232,-0.030523954658943322,0.6502238595104779,-0.20048520187111465,0.5816629888069967,0.2247307252861397,0.08415075557388549,-0.07746437599662277
thalach,-0.3893677729114361,-0.046008217575759014,0.23389855730362197,-0.03876149928855044,0.3000945209906608,-0.005881072617306832,-0.2104272692153583,-0.28238014748829976,0.35902340088424733,0.08217440530636937
exang,0.33339589754340165,0.20985795695205256,-0.18947565355507864,-0.1327823426024665,0.2040787193195947,0.43920896561732414,-0.04784071491617171,0.17952693380349988,-0.14366456726769616,0.6465986751778162
oldpeak,0.39701131569990766,0.05979192188406976,0.041586599391786966,0.41062079682281033,0.03545040366271423,-0.1609386523960964,-0.0810777740001252,-0.29870987208115446,0.21495791596788755,0.18979551759500643
slope,0.35412524399533996,0.08081475013703465,0.009476467641683084,0.5816505712720853,0.04143143098939655,0.02716276417849038,0.12888392925651532,-0.24388061491803034,-0.10889151653191281,-0.16240826135515352
ca,0.3070181471241673,-0.15704849681016003,0.0802851173016918,-0.3909918876161742,-0.2583847294094228,-0.37551596786771035,0.0906582297656971,-0.3034445734073298,0.38300309118224696,0.34686036713675933
thal,0.3452983206909602,0.2722107276016811,0.2441469605305032,-0.17068937121443936,0.108588801275384,-0.05882711053007805,-0.365295071360582,-0.037695229172847455,-0.0640082000964099,-0.41474265103914126
